combined_rank,docking_rank,smiles,zinc_id,druglike_ok,mw,logp,hbd,hba,tpsa,rotb,has_alert,sim_nutlin-3,sim_idasanutlin,max_ref_similarity,vina_affinity_kcal_mol,qsar_pred_pchembl,combined_score,pubchem_status,pubchem_cid,n_vendor_sources,vendor_sources,likely_purchasable
1,16,COc1ccc(-c2[nH]nc3c2[C@@H](c2cc(C(C)=O)cn2C)CC(=O)N3)c(OC)c1,2386275945,True,394.43100000000015,3.109100000000001,2,5,98.24,5,False,0.3085106382978723,0.1440677966101695,0.3085106382978723,-7.507,6.503015809523816,1.952293360801401,not_in_pubchem,,0,,False
2,32,COc1ccc(-c2[nH]nc3c2[C@H](c2cc(C(C)=O)cn2C)CC(=O)N3)c(OC)c1,2386275944,True,394.43100000000015,3.109100000000001,2,5,98.24,5,False,0.3085106382978723,0.1440677966101695,0.3085106382978723,-6.759,6.503015809523816,1.49412096912892,not_in_pubchem,,0,,False
3,35,CC(C)c1nnc2n1[C@@H](C)CN(C(=O)c1cc(Cl)ccc1OCCN)C2,2382308675,True,377.8760000000002,2.609400000000001,1,5,86.27,5,False,0.2371134020618556,0.1578947368421052,0.2371134020618556,-6.712,6.484070945767192,1.4379190429497193,found,164700446.0,2,ChemBridge; Mcule,True
4,5,CC1=C(C(=O)OC(C)C)[C@H](c2ccc(Cl)cc2)n2c(s/c(=C\c3ccc(C(=O)O)cc3)c2=O)=N1,1901601,True,496.9720000000002,3.538400000000002,1,6,97.96,5,False,0.2424242424242424,0.1538461538461538,0.2424242424242424,-7.965,5.832501666666671,1.2626051369472595,lookup_error,,0,,False
5,1,COc1cc2c(c(OC)c1)[C@H](c1ccc(Cl)cc1)CC(=O)N2,4488995,True,317.7720000000001,3.8313000000000015,1,3,47.56,3,False,0.3291139240506329,0.1818181818181818,0.3291139240506329,-8.426,5.4423019160997805,0.9803664894007856,found,7248920.0,1,ZINC,True
6,10,COc1ccc(-c2nn(-c3ccccc3)cc2CN2CCNC(=O)C2)c(F)c1,55154650,True,380.4230000000002,2.6188,1,4,59.39,5,False,0.3043478260869565,0.1379310344827586,0.3043478260869565,-7.699,5.597714761904764,0.7599379847220791,found,25477043.0,5,Ambinter; ChemBridge; Mcule; Molport; ZINC,True
7,3,O=C1CNc2nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)ccc2N1,2325804728,True,386.8390000000001,2.7825999999999995,2,5,83.56,3,False,0.2637362637362637,0.1238938053097345,0.2637362637362637,-8.126,5.283125686507936,0.5662811735530261,found,166309634.0,1,Enamine,True
8,8,COc1ccc2oc(N3CCC[C@@H](CC(=O)N4CCc5n[nH]cc5C4)C3)nc2c1,1857668365,True,395.46300000000014,2.750900000000001,1,6,87.49,4,False,0.238095238095238,0.1269841269841269,0.238095238095238,-7.757,5.400751896825399,0.510461520392949,not_in_pubchem,,0,,False
9,7,O=C(O)c1ccc(Cl)c(NC(=O)c2ccccc2Cl)c1,5068322,True,310.136,3.943900000000001,2,2,66.4,3,False,0.1149425287356321,0.2528735632183908,0.2528735632183908,-7.904,5.312460349206351,0.4727464772420638,found,1266932.0,5,AKos Consulting & Solutions; ChemBridge; Mcule; Molport; ZINC,True
10,6,COc1ccc([C@@H]2[C@@H]3CNC[C@@H]3CN2C(=O)c2ccc(-n3ccnc3)cc2)cc1,2384412235,True,388.471,2.913600000000001,1,4,59.39,4,False,0.2395833333333333,0.1293103448275862,0.2395833333333333,-7.913,5.28961228571429,0.4451983383532752,not_in_pubchem,,0,,False
11,33,COC(=O)c1cc(=NC(=O)N[C@@H]2CCC[C@@H]2c2ccc(Cl)cc2)[nH]n1C,2325819154,True,376.8440000000001,2.7398000000000007,2,3,88.47999999999999,3,False,0.2365591397849462,0.1545454545454545,0.2365591397849462,-6.742,5.778328674603171,0.4350932744608913,not_in_pubchem,,0,,False
12,9,COc1cccc(CN2CCc3c(c(C(=O)N4CCNC(=O)C4)nn3Cc3ccccc3)C2)c1,14539886,True,459.5500000000002,2.0703,1,5,79.70000000000002,6,False,0.3229166666666667,0.1393442622950819,0.3229166666666667,-7.751,5.221171757369618,0.2469357619153844,found,26143801.0,4,Ambinter; ChemBridge; Mcule; Molport,True
13,24,COc1ccc(OC)c(C2=NO[C@H](C(=O)N3CCCCC3)C2)c1,5030661,True,318.3730000000001,2.2093,0,5,60.36,4,False,0.3095238095238095,0.1296296296296296,0.3095238095238095,-7.176,5.447739880952386,0.2225727482857777,found,40503898.0,1,ZINC,True
14,15,O=C1CN(C(=O)OCC2c3ccccc3-c3ccccc32)CCN1,43215009,True,322.3640000000001,2.3673,1,3,58.64,2,False,0.3037974683544304,0.1274509803921568,0.3037974683544304,-7.527,5.272712666666676,0.1843082117257292,found,49760364.0,8,AKos Consulting & Solutions; Ambinter; BLD Pharm; Mcule; Molport; Sigma-Aldrich; ZINC; eMolecules,True
15,26,COc1ccc(OC)c(C2=NO[C@@H](C(=O)N3CCCCC3)C2)c1,5030666,True,318.3730000000001,2.2093,0,5,60.36,4,False,0.3095238095238095,0.1296296296296296,0.3095238095238095,-7.109,5.447739880952386,0.1815332426145794,found,40503900.0,1,ZINC,True
